date,time,inst,dir,grade,score,rr,entry,exit,pl,how
2026-06-15,10:10,EUR_USD,SHORT,REJECT,50,3.34,1.16134,1.15852,1154.80,close
2026-06-15,15:15,USD_JPY,SHORT,REJECT,43,4.83,160.29400,160.38800,-408.11,close
2026-06-15,11:15,AUD_USD,SHORT,REJECT,50,5.61,0.70834,0.70707,864.70,close
2026-06-16,10:15,AUD_USD,SHORT,REJECT,50,4.57,0.70738,0.70738,-0.00,breakeven
2026-06-16,12:20,GBP_USD,SHORT,REJECT,43,4.97,1.34365,1.34238,688.76,close
2026-06-16,10:45,USD_JPY,SHORT,REJECT,50,2.76,160.40800,160.46900,-236.02,close
2026-06-16,11:10,AUD_USD,SHORT,REJECT,50,4.45,0.70743,0.70664,545.66,close
2026-06-17,10:45,AUD_USD,SHORT,REJECT,50,9.91,0.70688,0.69951,4955.39,target
2026-06-18,15:15,EUR_USD,LONG,REJECT,43,9.87,1.14560,1.14578,122.83,close
2026-06-18,15:15,GBP_USD,LONG,REJECT,43,11.18,1.31998,1.31999,4.47,close
2026-06-19,13:55,EUR_USD,SHORT,REJECT,43,9.14,1.14750,1.14758,-64.13,close
2026-06-19,13:55,GBP_USD,SHORT,REJECT,43,5.59,1.32316,1.32336,-81.84,close
2026-06-22,10:05,USD_JPY,SHORT,REJECT,70,1.71,161.64400,161.07200,853.86,target
2026-06-22,12:20,USD_JPY,SHORT,REJECT,53,2.98,161.55500,161.60400,-151.40,close
2026-06-22,12:10,AUD_USD,LONG,REJECT,43,3.08,0.70000,0.69998,-15.88,close
2026-06-23,10:40,EUR_USD,LONG,REJECT,50,6.94,1.13802,1.13790,-70.68,close
2026-06-23,11:55,GBP_USD,LONG,REJECT,50,6.13,1.31898,1.31955,259.26,close
2026-06-23,14:55,AUD_USD,LONG,REJECT,43,15.14,0.69106,0.69132,207.87,close
2026-06-24,14:05,AUD_USD,LONG,REJECT,43,6.01,0.68867,0.68867,0.00,breakeven
2026-06-24,11:00,GBP_USD,LONG,REJECT,50,3.37,1.31528,1.31608,238.50,close
2026-06-24,10:00,USD_JPY,SHORT,REJECT,60,1.54,161.71200,161.82300,-430.63,close
2026-06-24,15:00,AUD_USD,LONG,REJECT,43,5.43,0.68886,0.68925,302.66,close
2026-06-25,11:35,EUR_USD,SHORT,REJECT,50,4.94,1.13829,1.13727,510.33,close
2026-06-25,10:15,GBP_USD,SHORT,REJECT,55,2.22,1.32000,1.32000,-0.00,close
2026-06-25,10:15,USD_JPY,LONG,REJECT,50,1.21,161.72000,161.79000,183.43,close
2026-06-26,10:25,GBP_USD,SHORT,REJECT,50,3.6,1.32233,1.31988,1028.18,close
2026-06-26,10:30,USD_JPY,LONG,REJECT,50,2.2,161.62000,161.75800,664.75,close
2026-06-26,10:30,AUD_USD,SHORT,REJECT,50,4.42,0.69110,0.68970,868.72,close
2026-06-29,12:25,EUR_USD,SHORT,REJECT,43,4.4,1.14236,1.14258,-113.24,close
2026-06-29,10:00,USD_JPY,SHORT,REJECT,50,1.3,161.90000,161.94100,-148.57,close
2026-06-29,10:25,AUD_USD,LONG,REJECT,50,3.07,0.68837,0.68902,482.18,close
2026-06-30,11:10,EUR_USD,SHORT,REJECT,50,3.48,1.14262,1.14262,-0.00,breakeven
2026-06-30,14:30,EUR_USD,SHORT,REJECT,43,5.97,1.14252,1.14252,-0.00,breakeven
2026-06-30,11:20,GBP_USD,SHORT,REJECT,50,5.82,1.32694,1.32640,274.49,close
2026-06-30,11:50,USD_JPY,SHORT,REJECT,50,4.69,162.59100,162.58200,30.13,close
2026-07-01,10:45,GBP_USD,SHORT,REJECT,55,3.06,1.32746,1.32783,-101.97,close
2026-07-01,10:20,USD_JPY,LONG,REJECT,50,3.76,162.39600,162.57400,753.09,close
